deployment_code,pi_code,process,public,country,updated
awru1,HINDELL ,1,1,AUSTRALIA,1
ct36,HINDELL ,1,1,AUSTRALIA,1
ct38w,HINDELL ,1,1,AUSTRALIA,1
ct47,HINDELL ,1,1,AUSTRALIA,1
ct75,HINDELL ,1,1,AUSTRALIA,1
ct2,HINDELL ,1,1,AUSTRALIA,1
ct6,HINDELL ,1,1,AUSTRALIA,1
wd1,HINDELL ,1,1,AUSTRALIA,1
wd3,HINDELL ,1,1,AUSTRALIA,1
ct64,IMOS    ,1,1,AUSTRALIA,1
ct77,IMOS    ,1,1,AUSTRALIA,1
ct79,IMOS    ,1,1,AUSTRALIA,1
ct78d,IMOS    ,1,1,AUSTRALIA,1
ct85,IMOS    ,1,1,AUSTRALIA,1
ct91,IMOS    ,0,1,AUSTRALIA,0
ct78,IMOS    ,1,1,AUSTRALIA,1
ct96,IMOS    ,1,1,AUSTRALIA,1
ct98,IMOS    ,1,1,AUSTRALIA,1
ct100,IMOS    ,1,1,AUSTRALIA,1
ct101,IMOS    ,0,1,AUSTRALIA,0
ct108,IMOS    ,1,1,AUSTRALIA,1
ct109,IMOS    ,1,1,AUSTRALIA,1
ct110,IMOS    ,0,1,AUSTRALIA,0
ct111,IMOS    ,1,1,AUSTRALIA,1
ct116,IMOS    ,1,1,AUSTRALIA,1
tu78,RIO     ,0,0,AUSTRALIA,0
ct31,SARDI   ,0,0,AUSTRALIA,0
ct61,SARDI   ,0,0,AUSTRALIA,0
ct76,SARDI   ,0,0,AUSTRALIA,0
ct86,SARDI   ,0,0,AUSTRALIA,0
ft13,SARDI   ,0,0,AUSTRALIA,0
ct106,SARDI   ,0,0,AUSTRALIA,0
ft19,SARDI   ,0,0,AUSTRALIA,0
ct115,SARDI   ,0,0,AUSTRALIA,0
ct22,MUELBERT,1,1,BRAZIL,1
ct39,MUELBERT,1,1,BRAZIL,1
ct46,MUELBERT,1,1,BRAZIL,1
ct56,MUELBERT,1,1,BRAZIL,1
MH3,HAMMILL ,0,0,CANADA,0
MH4,HAMMILL ,0,0,CANADA,0
MH5,HAMMILL ,0,0,CANADA,0
MH6,HAMMILL ,0,0,CANADA,0
ct55,HAMMILL ,1,1,CANADA,1
MH2,HAMMILL ,0,0,CANADA,0
MH1,HAMMILL ,0,0,CANADA,0
ct18,STENSON ,1,1,CANADA,1
ct20,NMML    ,1,0,CANADA,1
ct105,GAO     ,1,1,CHINA,1
ft15,IPHC    ,1,1,FRANCE,1
ft17,IPHC    ,1,1,FRANCE,1
ct26,XTOPHE  ,1,1,FRANCE,1
ct23,XTOPHE  ,1,1,FRANCE,1
ct38e,XTOPHE  ,1,1,FRANCE,1
ct23x,XTOPHE  ,1,1,FRANCE,1
ft02,XTOPHE  ,1,1,FRANCE,1
ft03,XTOPHE  ,1,1,FRANCE,1
ct62,XTOPHE  ,1,1,FRANCE,1
ft04,XTOPHE  ,1,1,FRANCE,1
ft06,XTOPHE  ,1,1,FRANCE,1
ft07,XTOPHE  ,1,1,FRANCE,1
ft10,XTOPHE  ,1,1,FRANCE,1
ct82,XTOPHE  ,1,1,FRANCE,1
ct84,XTOPHE  ,1,1,FRANCE,1
ft01,XTOPHE  ,1,1,FRANCE,1
ft11,XTOPHE  ,1,1,FRANCE,1
ct112,XTOPHE  ,1,1,FRANCE,1
ft12,XTOPHE  ,1,1,FRANCE,1
ct97,XTOPHE  ,1,1,FRANCE,1
ft18,XTOPHE  ,1,0,FRANCE,1
ct11,XTOPHE  ,1,1,FRANCE,1
ct16,XTOPHE  ,1,1,FRANCE,1
ct3,XTOPHE  ,1,1,FRANCE,1
ct7,XTOPHE  ,1,1,FRANCE,1
ct95,XTOPHE  ,0,0,FRANCE,0
ct35x,BESTER-AWI  ,1,1,SOUTH-AFRICA,1
ct73,BESTER-AWI  ,1,1,SOUTH-AFRICA,1
ct33,BESTER  ,1,1,SOUTH-AFRICA,1
ct90,BESTER  ,1,1,SOUTH-AFRICA,1
ct42,BESTER  ,1,1,SOUTH-AFRICA,1
ct50,BESTER  ,1,1,SOUTH-AFRICA,1
ct54,BESTER-AWI  ,1,1,GERMANY,1
ct21,AWI     ,1,1,GERMANY,1
ct35,AWI     ,1,1,GERMANY,1
